English,中文（採用）,別稱,來源
counter weight,平衡錘,配重,EDB 2020
couple,力偶,,EDB 2020
coupled oscillation,耦合振盪,,EDB 2020
coupling,耦合,,EDB 2020
coupling gel,耦合凝膠,,牛津 Book E4 Ch2
covalent bond,共價鍵,,EDB 2020
craft,工藝,,牛津 Book E2 Ch3
crane magnet,起重磁鐵,,EDB 2020
Crater,隕石坑,,牛津 Book E1 Ch1
creep,蠕變,,EDB 2020
crest,波峯,波峰（EDB）,牛津 Book 3B  Ch4
critical angle,臨界角,,牛津 Book 3A Ch2
critical damping,臨界阻尼,,EDB 2020
critical mass,臨界質量,,牛津 Book 5 Ch3
critical point,臨界點,,EDB 2020
critical temperature,臨界溫度,,EDB 2020
critical velocity,臨界速度,,EDB 2020
crocodile clip,鱷魚夾,,EDB 2020
cross hairs,十字絲,叉絲,EDB 2020
cross-sectional area,截面積,,EDB 2020
Crova's disc,克羅瓦盤,,EDB 2020
crystal,晶體,,EDB 2020
crystal diffraction,晶體衍射,晶體繞射,EDB 2020
crystal lattice,晶體點陣,晶體格子 / 晶格,EDB 2020
crystal planes,晶面,,EDB 2020
crystalline,結晶的,,EDB 2020
crystallization,結晶,,EDB 2020
crystallography,晶體學,,EDB 2020
cubical expansivity,體積膨脹係數,體積膨脹率,EDB 2020
curie,居里,,EDB 2020
current,電流,,EDB 2020
current amplification,電流放大,,EDB 2020
current amplification factor,電流放大因素,,EDB 2020
current amplifier,電流放大器,,EDB 2020
current balance,電流天平,,EDB 2020
current density,電流密度,,EDB 2020
current gain,電流增益,,EDB 2020
current intensity,電流強度,,EDB 2020
current pulse,電流脈衝,,EDB 2020
current sensitivity,電流靈敏度,,EDB 2020
current sensor,電流感應器,,牛津 Book 4 Ch2
current stabilizer,穩流器,,EDB 2020
current transfer characteristic,電流轉移特性,,EDB 2020
current-carrying conductor,載電流導體,,EDB 2020
curve of equal loudness,等響曲線,,牛津 Book E4 Ch2
curved mirror,曲面鏡,,EDB 2020
curves of equal loudness,等響曲綫,等響綫,EDB 2020
cyclotron,迴旋加速器,,EDB 2020
cylindrical concave lens,柱面凹透鏡,,EDB 2020
cylindrical concave mirror,柱面凹鏡,,EDB 2020
cylindrical convex lens,柱面凸透鏡,,EDB 2020
cylindrical convex mirror,柱面凸鏡,,EDB 2020
cylindrical lens,柱面透鏡,,EDB 2020
cylindrical mirror,柱面鏡,,EDB 2020
d.c. generator,直流發電機,,EDB 2020
d.c. motor,直流電動機,,EDB 2020
daily motion,週日運動,,EDB 2020
Dalton's law of partial pressures,道爾頓分壓定律,,EDB 2020
damped harmonic motion,阻尼諧動,,EDB 2020
damped harmonic oscillation,阻尼諧振,,EDB 2020
damped oscillation,阻尼振盪,,EDB 2020
damping,阻尼,,EDB 2020
damping force,阻尼力,,EDB 2020
dark fringe,暗紋,,EDB 2020
dark matter,暗物質,,牛津 Book E1 Ch3
data,數據,,EDB 2020
dating,年代測定,,EDB 2020
daughter nucleus,子核,,EDB 2020
daughter nuclide,子核素,,EDB 2020
David Scott,史考特,,牛津 Book 2 Ch2
de Broglie formula,德布羅意公式,,EDB 2020
de Broglie relation,德布羅意關係式,,EDB 2020
de Broglie wave,德布羅意波,,EDB 2020
de Broglie wavelength,德布羅意波長,,牛津 Book E2 Ch2
dead time,失效時間,,EDB 2020
decade capacitance box,十進電容箱,,EDB 2020
decade resistance box,十進電阻箱,,EDB 2020
decay,衰變,,EDB 2020
decay analogue,衰變模擬,,EDB 2020
decay constant,衰變常數,,牛津 Book 5 Ch2
decay curve,衰變曲線,衰變曲綫（EDB）,牛津 Book 5 Ch2
decay law,衰變定律,,EDB 2020
decay product,衰變產物,,EDB 2020
decay series,衰變系,,牛津 Book 5 Ch2
decelerate,減速,,EDB 2020
deceleration,減速度,,牛津 Book 2 Ch1
decibel,分貝,,EDB 2020
decibel (dB),分貝,,牛津 Book E4 Ch2
decode,譯碼,解碼,EDB 2020
decoder,譯碼器,解碼器,EDB 2020
deep sky object,深空天體,,EDB 2020
deferent,均輪,,牛津 Book E1 Ch1
deflection,偏轉,,EDB 2020
deflection plate,偏轉板,,EDB 2020
deflection system,偏轉系統,,EDB 2020
deflection tube,偏轉管,,EDB 2020
deformation,形變,,EDB 2020
degradation of energy,能量退降,能量遞降,EDB 2020
degree,度,,EDB 2020
degree Celsius,攝氏度,,EDB 2020
degree of freedom,自由度,,EDB 2020
demagnetization,去磁,退磁,EDB 2020
Democritus,德謨克利特,,牛津 Book 5 Ch2
demonstration diode,演示用二極管,,EDB 2020
demonstration meter,演示用電錶,,EDB 2020
dengue fever,登革熱,,牛津 Book E3 Ch4
density,密度,,EDB 2020
depletion layer,耗盡層,阻擋層,EDB 2020
depth of field,景深,,EDB 2020
derived quantity,導出量,,EDB 2020
derived unit,導出單位,,EDB 2020
destructive interference,相消干涉,,牛津 Book 3B  Ch5
detection,探測,,EDB 2020
detector,探測器,,EDB 2020
detector of radiation,輻射探測器,,EDB 2020
deterministic,確定的,,牛津 Book 5 Ch1
deuterium,氘,重氫,EDB 2020
deuteron,氘核,重氫核,EDB 2020
deviation,偏向,偏差,EDB 2020
device,裝置,設計 / 器件,EDB 2020
diamagnetism,抗磁性,,EDB 2020
diaphragm,光闌,膜片,EDB 2020
diatomic molecule,雙原子分子,,EDB 2020
Didier Queloz,奎洛茲,,牛津 Book E1 Ch3
dielectric,電介質,介電的,EDB 2020
dielectric constant,介電常數,介電常量 / 電容率,EDB 2020
dielectric polarization,電介質極化,,EDB 2020
dielectric strength,電介質強度,,EDB 2020
differential equation,微分方程,,EDB 2020
differential input voltage,差動輸入電壓,,EDB 2020
diffracted ray,衍射綫,繞射綫,EDB 2020
diffraction,衍射,繞射,牛津 Book 3B  Ch5
diffraction grating,衍射光柵,繞射光柵,EDB 2020
diffuse reflection,漫反射,,牛津 Book 3A Ch1
diffusion,擴散,漫射,EDB 2020
diffusion cloud chamber,擴散雲室,,牛津 Book 5 Ch1
digital,數字的,,EDB 2020
digital display,數字顯示,,EDB 2020
digital signal,數字訊號,,EDB 2020
digital-to-analogue conversion,數模轉換,,EDB 2020
dimension,量綱,因次 / 維 / 大小,EDB 2020
dimensional analysis,量綱分析,因次分析,EDB 2020
diminished,縮小,,EDB 2020
diode,二極管,,牛津 Book 4 Ch2
diode probe,二極管微波探測器,,EDB 2020
dioptre,屈光度,,牛津 Book E4 Ch1
dipole,偶極子,,EDB 2020
direct current,直流電,,EDB 2020
direction,方向,,牛津 Book 2 Ch1
direction of propagation,傳播方向,,EDB 2020
directly heated cathode,直熱式陰極,,EDB 2020
discharge,放電,,EDB 2020
discharging,放電,,牛津 Book 4 Ch1
disintegration,蛻變,,EDB 2020
dislocation,位錯,,EDB 2020
dispersion,色散,,牛津 Book 3A Ch2
dispersive power,色散能力,色散本領 / 色散率,EDB 2020
displacement,位移,,牛津 Book 2 Ch1
displacement can,排水罐,,EDB 2020
dissipate,消耗,,牛津 Book 4 Ch2
dissipative force,耗散力,,EDB 2020
distance,距離,,牛津 Book 2 Ch1
distortion,失真,扭曲 / 畸變,EDB 2020
disturbance,干擾,,EDB 2020
diverge,發散,,EDB 2020
divergent,發散,,牛津 Book 3A Ch1
diverging lens,發散透鏡,,EDB 2020
diverging mirror,發散鏡,,EDB 2020
division of amplitude,振幅分割,,EDB 2020
division of wavefront,波陣面分割,波前分割,EDB 2020
domain,疇,域,EDB 2020
domestic circuit,家居電路,,EDB 2020
donor,給予體,,EDB 2020
doped semiconductor,摻雜半導體,,EDB 2020
doping,摻雜,,EDB 2020
Doppler broadening,多普勒譜綫增寬,,EDB 2020
Doppler effect,多普勒效應,,牛津 Book E1 Ch3
Doppler shift,多普勒頻移,,牛津 Book E1 Ch3
dosage,劑量,,EDB 2020
dose,劑量,,牛津 Book 5 Ch1
dose rate,劑量率,,EDB 2020
double pulley,雙滑輪,,EDB 2020
double refraction,雙折射,,EDB 2020
double slit,雙縫,,EDB 2020
double star,雙星,,EDB 2020
double-pole-double-throw switch,雙刀雙擲開關,,EDB 2020
doublet,雙重綫,,EDB 2020
dough,麪糰,,牛津 Book E1 Ch3
drag force,阻力,曳力,EDB 2020
drift velocity,漂移速度,,EDB 2020
driver circuit,驅動電路,,EDB 2020
driver frequency,驅動頻率,,EDB 2020
driving cell,驅動電池,,EDB 2020
driving force,驅動力,,EDB 2020
driving mirror,行車後視鏡,,EDB 2020
dry battery,乾電池組,,EDB 2020
dry cell,乾電池,,EDB 2020
dual trace oscilloscope,雙跡示波器,,EDB 2020
ducted wind turbine,管道風力渦輪機,,EDB 2020
ductile,延性的,,EDB 2020
dwarf planet,矮行星,,牛津 Book E1 Ch1
dynamic equilibrium,動態平衡,,EDB 2020
dynamic friction,動摩擦,,EDB 2020
dynamic resistance,動態電阻,,EDB 2020
dynamics,動力學,,EDB 2020
dynamo,發電機,,EDB 2020
E. coli,大腸桿菌,,牛津 Book E2 Ch3
e.g. convex mirror,凸鏡,凸面鏡,EDB 2020
ear bone / ossicle,聽小骨,,牛津 Book E4 Ch2
eardrum,鼓膜,,牛津 Book E4 Ch2
earth,接地,地綫,EDB 2020
earthing,接地,,牛津 Book 4 Ch1
earthquake waves,地震波,,EDB 2020
ebonite,硬橡膠,硬質膠,EDB 2020
ebonite rod,硬橡膠棒,硬質膠棒,EDB 2020
echo,回聲,回波,牛津 Book E4 Ch2
ecliptic,黃道,,EDB 2020
eddy current,渦電流,渦流,EDB 2020
eddy current damping,渦流阻尼,,EDB 2020
eddy current loss,渦流損耗,,EDB 2020
Edwin Hubble,哈勃,,牛津 Book E1 Ch3
effective dose,有效劑量,,牛津 Book E4 Ch3
effective half-life,有效半衰期,,牛津 Book E4 Ch3
effective mass,有效質量,,EDB 2020
efficiency,效率,,牛津 Book 4 Ch8
effort,施力,,EDB 2020
Einstein's mass-energy relation,愛因斯坦質能關係式,,EDB 2020
Einstein's photoelectric equation,愛因斯坦光電方程,,EDB 2020
Einstein’ s photoelectric equation,愛因斯坦光電方程,,牛津 Book E2 Ch1
Ejnar Hertzsprung,赫茲普龍,,牛津 Book E1 Ch3
elastic collision,彈性碰撞,,EDB 2020
elastic constant,彈性常數,彈性常量,EDB 2020
elastic deformation,彈性形變,,EDB 2020
elastic hysteresis,彈性滯後,,EDB 2020
elastic limit,彈性極限,,EDB 2020
elastic potential energy,彈性勢能,,牛津 Book 2 Ch6
elastic strain energy,彈性應變能,,EDB 2020
elasticity,彈性,,EDB 2020
electric bell,電鈴,,EDB 2020
electric charge,電荷,,牛津 Book 4 Ch1
electric current,電流,,牛津 Book 4 Ch2
electric field,電場,,牛津 Book 4 Ch1
electric field intensity,電場強度,,EDB 2020
electric field pattern,電場圖形,,EDB 2020
electric field strength,電場強度,,牛津 Book 4 Ch1
electric fire,電暖爐,,EDB 2020
electric force,電力,,牛津 Book 4 Ch1
electric hotplate,電熱平板爐,,牛津 Book E3 Ch1
electric line of force,電力綫,,EDB 2020
electric motor,電動機,,EDB 2020
electric potential,電勢,,牛津 Book 4 Ch2
electric potential energy,電勢能,,牛津 Book 4 Ch1
electric power,電功率,,EDB 2020
electric shock,電震,,EDB 2020
electric vehicle,電動車,,牛津 Book E3 Ch3
electrical appliance,電器,,EDB 2020
electrical conductivity,導電率,,EDB 2020
electrical energy,電能,,EDB 2020
electrical oscillation,電振盪,,EDB 2020
electrical potential energy,電勢能,電位能,EDB 2020
electrical power,電功率,,牛津 Book 4 Ch2
electrical resonance,電共振,,EDB 2020
electricity,電,電學,EDB 2020
electrode,電極,,EDB 2020
electrolysis,電解,,EDB 2020
electrolyte,電解質,,牛津 Book 4 Ch2
electrolytic,電解質的,電解的,EDB 2020
electrolytic capacitor,電解質電容器,,EDB 2020
electromagnet,電磁鐵,電磁體,EDB 2020
electromagnetic coil,電磁感應圈,,EDB 2020
electromagnetic contact,電磁觸點,,EDB 2020
electromagnetic force,電磁力,,EDB 2020
electromagnetic induction,電磁感應,,EDB 2020
electromagnetic moment,電磁矩,,EDB 2020
electromagnetic oscillation,電磁振盪,,EDB 2020
electromagnetic radiation,電磁輻射,,EDB 2020
electromagnetic spectrum,電磁波譜,,EDB 2020
electromagnetic wave,電磁波,,EDB 2020
electromagnetism,電磁學,,牛津 Book 4 Ch1
electrometer,靜電計,,EDB 2020
electromotive force,電動勢,,EDB 2020
electromotive force (e.m.f.),電動勢,,牛津 Book 4 Ch2
electron,電子,,牛津 Book 5 Ch2
electron beam,電子束,,EDB 2020
electron cloud,電子雲,,EDB 2020
electron diffraction,電子衍射,電子繞射,EDB 2020
electron drift,電子漂移,,EDB 2020
electron energy level,電子能級,,EDB 2020
electron gun,電子槍,,EDB 2020
electron transition,電子躍遷,,牛津 Book E2 Ch2
electron tube,電子管,,EDB 2020
electron-volt,電子伏特,電子伏,EDB 2020
electron-volt (eV),電子伏,,牛津 Book 5 Ch3
electronic cochlea implant,電子耳蝸植入,,EDB 2020
electronics,電子學,,EDB 2020
electrophorus,起電盤,,EDB 2020
electroscope,驗電器,,EDB 2020
electrostatic bond,靜電鍵,,EDB 2020
electrostatic field apparatus,靜電場儀器,,EDB 2020
electrostatic force,靜電力,,牛津 Book 4 Ch1
electrostatic induction,靜電感應,,牛津 Book 4 Ch1
electrostatic precipitation,靜電沉澱法,,EDB 2020
electrostatics,靜電學,,牛津 Book 4 Ch1
element,元素,,牛津 Book 5 Ch2
elliptic orbit,橢圓軌道,,EDB 2020
elliptical orbit,橢圓軌道,,牛津 Book E1 Ch2
elongation,伸長度,,EDB 2020
emergent ray,出射綫,,EDB 2020
emission,發射,,EDB 2020
emission line,發射譜綫,,EDB 2020
emission spectrum,發射光譜,,牛津 Book E2 Ch2
emission spectrum (pl. spectra),發射光譜,,牛津 Book E2 Ch2
emissivity,發射率,比輻射率,EDB 2020
emit,發射,,EDB 2020
emitter,發射極,射極,EDB 2020
emitter current,發射極電流,射極電流,EDB 2020
empirical evidence,經驗證據,,牛津 Book 2 Ch2
enamelled wire,漆包綫,,EDB 2020
encode,編碼,,EDB 2020
encoder,編碼器,,EDB 2020
end-correction,端部修正,管口校正量,EDB 2020
end-on collision,同向碰撞,尾追碰撞,EDB 2020
end-use energy efficiency,最終能源效益,,牛津 Book E3 Ch1
endoscope,內窺鏡,,EDB 2020
energetic particle,高能粒子,,EDB 2020
energy,能量,能,EDB 2020
energy band,能帶,,EDB 2020
energy conversion,能量轉換,,EDB 2020
energy conversion efficiency,能量轉換效率,,EDB 2020
energy converter,能量轉換器,,EDB 2020
Energy Efficiency Index,能源效益指數,,牛津 Book E3 Ch1
Energy Efficiency Labelling Scheme (EELS),能源效益標籤計劃,,牛津 Book E3 Ch1
energy input,能量輸入,,EDB 2020
energy level,能級,,牛津 Book E2 Ch2
energy output,能量輸出,,EDB 2020
energy transfer,能量轉移,,EDB 2020
energy-saving devices,節約能源裝置,,EDB 2020
enriched uranium,濃縮鈾,,EDB 2020
Enrico Fermi,費米,,牛津 Book 5 Ch3
enteric fermentation,腸內發酵,,牛津 Book E3 Ch4
Environmental Radiation Monitoring Programme,環境輻射監測計劃,,牛津 Book 5 Ch3
epicycle,本輪,,牛津 Book E1 Ch1
epidemic,傳染病,,牛津 Book E4 Ch3
equation of continuity,連續性方程,,EDB 2020
equation of state,物態方程,,EDB 2020
equation of uniformly accelerated motion,勻加速運動方程,,EDB 2020
equations of uniformly accelerated motion,勻加速運動方程,,牛津 Book 2 Ch2
equatorial orbit,赤道軌道,,EDB 2020
equilibrium,平衡,,EDB 2020
equilibrium condition,平衡條件,,EDB 2020
equilibrium position,平衡位置,,牛津 Book 3B  Ch4
equilibrium spacing,平衡間距,,EDB 2020
equipartition of energy,能量均分,,EDB 2020
equipotential,等勢的,等位的,EDB 2020
equipotential line,等勢綫,等位綫,EDB 2020
equipotential surface,等勢面,等位面,EDB 2020
equivalent capacitance,等效電容,,EDB 2020
equivalent dose,當量劑量,,牛津 Book 5 Ch1
equivalent inductance,等效電感,,EDB 2020
equivalent resistance,等效電阻,,牛津 Book 4 Ch2
equivalent temperature difference,等效温差,,牛津 Book E3 Ch3
erect,正立,,EDB 2020
Ernest Marsden,馬斯登,,牛津 Book E2 Ch2
Ernest Rutherford,盧瑟福,,牛津 Book 5 Ch1
error,誤差,,牛津 Book 2 Ch1
escape velocity,逃逸速度,,牛津 Book E1 Ch2
ether,以太,醚,EDB 2020
eureka wire,電阻線,,牛津 Book 4 Ch2
evacuation,抽成真空,,EDB 2020
evaporation,蒸發,,EDB 2020
evaporator coil,蒸發管道,,牛津 Book E3 Ch1
evolutionary,演變的,,牛津 Book 2 Ch2
excess pressure,超壓,逾電壓,EDB 2020
excitation,激發,,EDB 2020
excitation energy,激發能,,牛津 Book E2 Ch2
excitation potential,激發電勢,激發電位,EDB 2020
excitation voltage,激發電壓,,EDB 2020
excited,受激,,EDB 2020
excited energy level,受激能級,,EDB 2020
excited state,受激態,,牛津 Book E2 Ch2
exoplanet,太陽系外行星,,牛津 Book E1 Ch1
exotic celestial body,奇異天體,,EDB 2020
expansion,膨脹,,EDB 2020
expansion valve,膨脹閥,,牛津 Book E3 Ch1
expansivity,膨脹係數,膨脹率,EDB 2020
exponential change,指數式改變,,EDB 2020
exponential decay,指數式衰變,,牛津 Book 5 Ch2
exposure,曝光量,照射,EDB 2020
extension,伸長,,EDB 2020
external force,外力,,EDB 2020
external work,外功,,EDB 2020
extra high tension,超高電壓,,EDB 2020
extra high tension (EHT) power supply,超高電壓電源,,牛津 Book 4 Ch1
extra-nuclear structure,核外結構,,EDB 2020
extraordinary ray,非常光綫,,EDB 2020
extrapolation,外推,外推法,EDB 2020
extrasolar planet,太陽系外行星,,EDB 2020
extraterrestrial life,地外生命,,EDB 2020
extrinsic semiconductor,含雜質半導體,,EDB 2020
eyepiece,接目鏡,目鏡,EDB 2020
false negative,假陰性,,EDB 2020
false positive,假陽性,,EDB 2020
far point,遠點,,牛津 Book E4 Ch1
farad,法拉,,EDB 2020
Faraday constant,法拉第常數,法拉第常量,EDB 2020
Faraday's law of electromagnetic induction,法拉第電磁感應定律,,EDB 2020
fast breeder reactor,快中子增殖反應堆,,EDB 2020
feedback,反饋,,EDB 2020
feedback amplifier,反饋放大器,,EDB 2020
feedback resistance,反饋電阻,,EDB 2020
ferromagnetic substance,鐵磁性物質,,EDB 2020
ferromagnetism,鐵磁性,,EDB 2020
fibre optic endoscope,光纖內窺鏡,,牛津 Book E4 Ch1
fibre optic endoscopy,光纖內窺鏡檢查術,,牛津 Book E4 Ch1
fictitious force,假力,偽力,EDB 2020
fidelity,保真性,保真度,EDB 2020
field coil,場綫圈,,EDB 2020
field effect transistor,場效應晶體管,,EDB 2020
field intensity,場強,,EDB 2020
field line,場力線,,牛津 Book 4 Ch1
field lines,場力綫,,EDB 2020
field magnet,場磁鐵,場磁體,EDB 2020
field of view,視場,視野,EDB 2020
field strength,場強,,EDB 2020
figure of merit,優值,靈敏值,EDB 2020
filament,燈絲,絲極,EDB 2020
filter,濾光片,濾鏡,EDB 2020
filter capacitor,濾波電容器,,EDB 2020
filter circuit,濾波電路,,EDB 2020
filter pump,濾泵,,EDB 2020
final state,終態,末態,EDB 2020
final velocity,末速度,,EDB 2020
fine-adjustment,微調,細調,EDB 2020
fire alarm,火警警報器,火警鐘,EDB 2020
first law of thermodynamics,熱力學第一定律,,EDB 2020
first order spectrum,第一級光譜,第一級譜,EDB 2020
fissile,可裂變的,,牛津 Book 5 Ch3
fission,裂變,,EDB 2020
fission reactor,裂變反應堆,,EDB 2020
fixed point,定點,,EDB 2020
fixed pulley,定滑輪,,EDB 2020
fixed resistor,定值電阻器,,EDB 2020
flat coil,扁平綫圈,,EDB 2020
flat solenoid,扁平螺綫管,,EDB 2020
flat-bottomed flask,平底燒瓶,,EDB 2020
Fleming's left hand rule,弗林明左手定則,,EDB 2020
Fleming's right hand rule,弗林明右手定則,,EDB 2020
floating body,浮體,,EDB 2020
fluid,流體,,EDB 2020
fluid dynamics,流體動力學,,EDB 2020
fluorescence,熒光反應,螢光（EDB）,牛津 Book E3 Ch2
fluorescent lamp,螢光燈,,EDB 2020
fluorescent screen,螢光屏,螢光幕,EDB 2020
fluorescent tube lamp (FTL),熒光燈,,牛津 Book E3 Ch2
flux,通量,,EDB 2020
flux density,通量密度,,EDB 2020
fly-back,回掃,,EDB 2020
flywheel,飛輪,,EDB 2020
focal length,焦距,,EDB 2020
focal plane,焦平面,,EDB 2020
focus,焦點,聚焦 / 對焦,EDB 2020
focus (pl. foci),焦點,,牛津 Book E1 Ch2
focus control,聚焦控制,,EDB 2020
follower circuit,跟隨電路,,EDB 2020
foot pump,腳踏泵,,EDB 2020
force,力,,EDB 2020
force constant,力常數,力常量,EDB 2020
force polygon,力多邊形,,EDB 2020
force resolution,力的分解,,EDB 2020
force triangle,力三角形,,EDB 2020
forced oscillation,受迫振盪,,EDB 2020
former,框,,EDB 2020
forward biased,正向偏壓,,EDB 2020
forward current,正向電流,,EDB 2020
fossil fuel,化石燃料,,牛津 Book E3 Ch4
Foucault's rotating mirror method,傅科旋轉鏡法,,EDB 2020
frame of reference,參考座標系,參考系,EDB 2020
Fraser Stoddart,斯托達特,,牛津 Book E2 Ch3
Fraunhofer diffraction,夫琅和費衍射,夫琅和費繞射,EDB 2020
Fraunhofer lines,夫琅和費線,夫琅和費譜綫（EDB）,牛津 Book E2 Ch2
free electron,自由電子,,牛津 Book 1 Ch2
free fall,自由下落,自由下墜（EDB）,牛津 Book 2 Ch2
free falling body,自由落體,,EDB 2020
free oscillation,自由振盪,,EDB 2020
free path,自由程,,EDB 2020
free space,自由空間,,EDB 2020
free-body diagram,孤立物體圖,自由體圖 / 隔離體圖,EDB 2020
freeze,凝固,,EDB 2020
freezing point,凝固點,,EDB 2020
freon,氟利昂,二氯二氟甲烷,EDB 2020
frequency,頻率,,牛津 Book 3B  Ch4
frequency modulation,調頻,頻率調制,EDB 2020
frequency response,頻率響應,,EDB 2020
Fresnel diffraction,菲涅耳衍射,菲涅耳繞射,EDB 2020
Fresnel's biprism,菲涅耳雙稜鏡,,EDB 2020
friction,摩擦,摩擦力,EDB 2020
friction compensated,補償摩擦作用,,EDB 2020
frictionless motion,無摩擦運動,,EDB 2020
fringe,條紋,,EDB 2020
fringe pattern,條紋圖形,,EDB 2020
fuel rod,燃料棒,,EDB 2020
Fukushima,福島,,牛津 Book E3 Ch4
fulcrum,支點,,EDB 2020
full adder,全加法器,,EDB 2020
full-scale deflection,滿標偏轉,,EDB 2020
full-wave rectification,全波整流,,EDB 2020
full-wave rectifier,全波整流器,,EDB 2020
fullerene,富勒烯,碳簇 / 富勒體,EDB 2020
fundamental frequency,基頻,,EDB 2020
fundamental mode of vibration,基諧振動模式,,EDB 2020
fundamental note,基音,,EDB 2020
fundamental quantity,基本量,,EDB 2020
fundamental unit,基本單位,,EDB 2020
fuse,保險絲,,EDB 2020
fuse rating,保險絲額定值,,EDB 2020
fusion,熔解,,EDB 2020
fusion point,熔點,,EDB 2020
fusion reactor,聚變反應堆,,EDB 2020
G. P. Thomson,喬治湯姆生,,牛津 Book E2 Ch2
gain,增益,,EDB 2020
gain control,增益控制,,EDB 2020
galaxy,星系,,牛津 Book E1 Ch1
galaxy cluster,星系團,,牛津 Book E1 Ch1
Galilean satellites,伽利略衛星,,EDB 2020
Galilean telescope,伽利略望遠鏡,,EDB 2020
Galileo Galilei,伽利略,,牛津 Book 2 Ch2
Galileo's thought experiment,伽利略假想實驗,,EDB 2020
galvanometer,檢流計,電流計（EDB）,牛津 Book 4 Ch2
gamma camera,伽瑪照相機,伽瑪攝影儀 / 伽瑪攝影機,EDB 2020
gamma radiation,伽瑪輻射,,EDB 2020
gamma ray,伽瑪射綫,,EDB 2020
gap,隙,,EDB 2020
gas,氣,氣體,EDB 2020
gas discharge lamp,氣體放電燈,,牛津 Book E3 Ch2
gas pressure,氣體強壓,氣壓,EDB 2020
gaseous phase,氣相,,EDB 2020
gaseous state,氣態,,EDB 2020
gauge,規,計,EDB 2020
Gauss theorem,高斯定理,,EDB 2020
Geiger counter,蓋革計數器,,EDB 2020
general gas equation,普適氣體方程,,EDB 2020
general gas law,普適氣體定律,,EDB 2020
general theory of relativity,廣義相對論,,牛津 Book 5 Ch3
generator,發電機,,EDB 2020
genetic effect,遺傳效應,,EDB 2020
geocentric model,地心模型,,牛津 Book E1 Ch1
geometrical optics,幾何光學,,EDB 2020
Georg Ohm,歐姆,,牛津 Book 4 Ch2
George Westinghouse,威斯汀豪斯,,牛津 Book 4 Ch8
Georges Seurat,秀拉,,牛津 Book E2 Ch3
germanium,鍺,,EDB 2020
ghost effect,疊影效應,,EDB 2020
giant,巨星,,牛津 Book E1 Ch3
glancing angle,掠射角,,EDB 2020
glare,眩光,,牛津 Book 3A Ch1
glass fibre,玻璃纖維,,EDB 2020
global warming,全球暖化,,牛津 Book 1 Ch2
globular cluster,球狀星團,,牛津 Book E1 Ch1
glycerine,甘油,,EDB 2020
gold foil,金箔,,EDB 2020
gold leaf electroscope,金箔驗電器,,牛津 Book 4 Ch1
gradient,斜率,梯度,EDB 2020
graduated cylinder,量筒,,EDB 2020
Graham's law of diffusion,格拉哈姆擴散定律,,EDB 2020
grain,粒,晶粒,EDB 2020
gramophone record,唱片,唱碟,EDB 2020
granule,顆粒,米粒,EDB 2020
graph,圖,綫圖 / 圖表,EDB 2020
graphene,石墨烯,,牛津 Book E2 Ch3
graphical method,圖解法,,EDB 2020
grating,光柵,,EDB 2020
grating spectrometer,光柵光譜儀,光柵分光計,EDB 2020
gravitational acceleration,重力加速度,,EDB 2020
gravitational attraction,引力,重力,EDB 2020
gravitational constant,引力常數,引力常量,EDB 2020
gravitational field,引力場,重力場,EDB 2020
gravitational force,引力,重力,EDB 2020
gravitational mass,引力質量,,EDB 2020
gravitational potential,引力勢,重力勢,EDB 2020
gravitational potential difference,引力勢差,重力勢差,EDB 2020
gravitational potential energy,重力勢能,引力勢能（EDB）,牛津 Book 2 Ch6
gravity,重力,,牛津 Book 2 Ch2
grazing incidence,掠入射,切入射,EDB 2020
Great Square of Pegasus,秋季大四方,,牛津 Book E1 Ch1
greenhouse effect,温室效應,溫室效應（EDB）,牛津 Book 1 Ch2
greenhouse gas,温室氣體,溫室氣體（EDB）,牛津 Book E3 Ch4
grid,柵極,,EDB 2020
grid control,柵極控制,,EDB 2020
grid system,電網系統,,牛津 Book 4 Ch8
groove,紋道,針槽 / 開槽,EDB 2020
ground,接地,,EDB 2020
ground state,基態,,牛津 Book E2 Ch2
Guangdong Daya Bay Nuclear Power Station,廣東大亞灣核電站,,牛津 Book 5 Ch3
Gustav Kirchhoff,基爾霍夫,,牛津 Book E2 Ch2
hair cell,毛細胞,,牛津 Book E4 Ch2
hair spring,游絲,,EDB 2020
half adder,半加法器,,EDB 2020
half-life,半衰期,,牛津 Book 5 Ch2
half-silvered mirror,半鍍銀鏡,,EDB 2020
half-value thickness,半值厚度,,牛津 Book E4 Ch3
half-wave rectification,半波整流,,EDB 2020
half-wave rectifier,半波整流器,,EDB 2020
Hall effect,霍耳效應,,EDB 2020
Hall probe,霍耳探測器,,EDB 2020
Hall voltage,霍耳電壓,,EDB 2020
halogen lamp,鹵素燈,,EDB 2020
hand stroboscope,手動式頻閃觀測器,,EDB 2020
Hans Geiger,蓋革,,牛津 Book E2 Ch2
harmonic,諧音,,EDB 2020
harmonic motion,諧運動,,EDB 2020
harmonic oscillation,諧振盪,,EDB 2020
head-on collision,對正碰撞,正碰,EDB 2020
heat,熱,,牛津 Book 1 Ch2
heat absorbent,吸熱劑,,EDB 2020
heat absorber,吸熱器,,EDB 2020
heat absorption,吸熱,熱吸收,EDB 2020
heat capacity,熱容量,,牛津 Book 1 Ch3
heat conduction,熱傳導,,EDB 2020
heat exchange,熱交換,,EDB 2020
